Νομός_Δήμος_Κοινότητα,Νέες_οικοδομές,Προσθήκες,Επισκευές,Αναπαλαιώσεις,Κατεδαφίσεις
Παλαιοχωρίου                  ,1,0,0,0,0 
Ποντινής                      ,1,0,0,0,0 
Πυλωρών                       ,1,0,0,0,0 
Κηπουρείου                    ,1,0,0,0,0 
Καλλιθέας                     ,1,0,0,0,0 
Κρανέας                       ,1,0,0,0,0 
Δεσκάτης                      ,8,4,1,0,0 
Δασοχωρίου                    ,0,1,0,0,0 
Παλιουριάς                    ,1,0,0,0,0 
Αγίου Γεωργίου                ,5,0,0,0,0 
Κιβωτού                       ,1,0,0,0,0 
Κοκκινιάς                     ,1,0,0,0,0 
Πολυδένδρου                   ,1,0,0,0,0 
Μαυραναίων                    ,9,2,0,0,0 
Αλατόπετρας                   ,0,1,0,0,0 
Αναβρυτών                     ,1,0,0,0,0 

Ζάκα                          ,3,2,0,0,0 
Μοναχιτίου                    ,1,0,0,0,0 
Πανοράματος                   ,1,0,0,0,0 
Πολυνερίου                    ,2,1,0,0,0 
Προσβόρρου                    ,1,0,0,0,0 
Τρικώμου                      ,1,0,0,0,0 
Αγίου Κοσμά                   ,1,0,0,0,0 
Καληράχης                     ,2,0,0,0,0 
Κυδωνιών                      ,2,0,0,0,0 
Κυπαρισσίου                   ,1,0,0,0,0 
Αβδέλλας                      ,3,4,0,0,0 
Δοτσικού                      ,4,0,0,0,0 
Μεσολουρίου                   ,0,0,0,0,0 
Περιβολίου                    ,9,3,0,0,0 
Σαμαρίνης                     ,14,1,0,0,0 
Σμίξης                        ,2,3,0,0,0 
Φιλιππαίων                    ,4,2,0,0,0 
ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ                 ,190,30,14,5,10 
Καστορίας                     ,69,8,10,5,5 
Μανιάκων                      ,14,3,2,0,0 
Κορομηλέας                    ,1,0,0,0,0 
Χιλιοδένδρου                  ,3,0,0,0,0 
Κορησού                       ,6,0,0,0,1 
Βασιλειάδος                   ,2,0,0,0,0 
Λιθιάς                        ,1,0,0,0,0 
Μελισσοτόπου                  ,3,0,0,0,0 
Διποταμιάς                    ,2,0,0,0,0 
Πολυανέμου (της πρώην κοινότητας Αγίας Κυριακής 561101)          ,1,0,0,0,0 

Μεσοποταμιάς                  ,23,3,1,0,0 
Οινόης                        ,1,0,0,0,0 
Πτεριάς                       ,1,0,0,0,0 
Τοιχίου                       ,0,2,0,0,0 
Βυσσινέας                     ,1,0,0,0,0 
Μεταμορφώσεως                 ,2,0,0,0,0 
Οξυάς                         ,1,0,0,0,0 
Πολυκεράσου                   ,1,0,0,0,0 
Σιδηροχωρίου                  ,1,0,0,0,0 
Βογατσικού                    ,7,0,0,0,0 
Αμπελοκήπων                   ,2,1,0,0,0 
Γέρμα                         ,1,0,0,0,0 
Μηλίτσας                      ,1,1,0,0,0 
Κλεισούρας                    ,1,0,0,0,0 

Γάβρου                        ,1,0,0,0,0 
Μακροχωρίου                   ,4,2,0,0,0 
Μαυροχωρίου                   ,3,1,0,0,0 
Δισπηλίου                     ,8,2,0,0,0 
Πολυκάρπης                    ,1,1,0,0,0 
Νεστορίου                     ,1,0,1,0,0 
’ργους Ορεστικού              ,26,6,0,0,4 
Αγίου Ηλία                    ,1,0,0,0,0 
ΝΟΜΟΣ ΚΟΖΑΝΗΣ                   ,570,123,5,0,26 
Κοζάνης                       ,199,26,2,0,20 
Αλωνακίων                     ,3,1,0,0,0 
Αργίλου                       ,7,0,0,0,0 
Βατερού                       ,6,0,0,0,0 
Καρυδίτσας                    ,2,0,0,0,0 
Κοίλων                        ,7,1,0,0,0 
Λευκόβρυσης                   ,5,2,1,0,0 
Λευκοπηγής                    ,6,1,0,0,0 
Νέας Νικόπολης                ,0,0,0,0,0 
Ξηρολίμνης                    ,4,1,0,0,0 
Πετρανών                      ,2,1,0,0,0 
Πρωτοχωρίου                   ,7,1,0,0,0 
Σκήτης                        ,3,0,0,0,0 
Χαραυγής                      ,5,0,0,0,1 
Αγίου Χριστοφόρου             ,1,1,0,0,0 
Καρυοχωρίου                   ,1,0,0,0,0 
Σπηλιάς                       ,1,0,0,0,0 
Αιανής                        ,6,4,0,0,0 
Αγίας Παρασκευής              ,0,1,0,0,0 
Κερασέα                       ,1,0,0,0,0 
Ροδιανής                      ,1,0,0,0,0 
Καλονερίου                    ,1,3,0,0,0 
Γαλατινής                     ,9,2,0,0,1 
Ερατύρας                      ,4,0,1,0,0 
Ναμάτων                       ,1,0,0,0,0 
Σισανίου                      ,3,1,0,0,0 
Βελβεντού                     ,10,7,0,0,0 
Αγίας Κυριακής                ,1,0,0,0,0 
Καταφυγίου                    ,1,0,0,0,0 
Κομνηνών                      ,5,1,0,0,0 
Ανατολικού                    ,3,1,0,0,0 
Μεσοβούνου                    ,2,0,0,0,0 
Πύργων                        ,0,1,0,0,0 
Μαυροδενδρίου                 ,4,1,0,0,0 
Ποντοκώμης                    ,11,0,0,0,0 

Κρόκου                        ,18,3,0,0,0 
Αμυγδαλέας                    ,1,0,0,0,0 
’νω Κώμης                     ,4,1,0,0,0 
Καισάρειας                    ,1,0,0,0,0 
Κάτω Κώμης                    ,1,0,0,0,0 
Κοιλάδος                      ,2,2,0,0,0 
Αγίου Δημητρίου               ,4,0,0,0,0 
Ακρινής                       ,4,0,0,0,0 
Δρεπάνου                      ,23,2,0,0,0 
Καπνοχωρίου                   ,1,0,0,0,0 
Πολυμύλου                     ,1,0,0,0,0 
Ρυακίου                       ,1,0,0,0,0 
Τρανοβάλτου                   ,1,0,0,0,0 
Ελάτης                        ,6,0,0,0,0 
Εμπορίου                      ,2,0,0,0,0 
Αναρράχης                     ,1,1,0,0,0 
Αρδάσσης                      ,4,1,0,0,0 
Φούφα                         ,5,1,0,0,0 
Νεάπολης                      ,12,2,1,0,0 
Αλιάκμονος                    ,0,0,0,0,0 
Δρυοβούνου                    ,1,0,0,0,0 
Πυλωρίου                      ,1,0,0,0,0 
Σκαλοχωρίου                   ,1,0,0,0,0 
Πτολεμαΐδος                   ,79,27,0,0,3 
Ασβεστοπέτρας                 ,1,0,0,0,0 
Γαλατείας                     ,2,0,0,0,0 
Δροσερού                      ,1,0,0,0,0 
Ολυμπιάδος                    ,2,0,0,0,0 
Περδίκκα                      ,1,0,0,0,0 
Σερβίων                       ,16,9,0,0,0 
Αυλών                         ,1,0,0,0,0 
Βαθυλάκκου                    ,1,0,0,0,0 
Γουλών                        ,1,0,0,0,0 
Ιμέρων                        ,1,0,0,0,0 
Κρανιδίων                     ,0,1,0,0,0 
Λευκάρων                      ,4,2,0,0,0 
Μεσιανής                      ,1,0,0,0,0 
Μεταξά                        ,2,0,0,0,0 
Νεράιδας                      ,2,0,0,0,0 
Πλατανορρεύματος              ,3,2,0,0,1 
Πολυρράχου                    ,0,0,0,0,0 
Ροδίτου                       ,1,0,0,0,0 
Τριγωνικού                    ,1,0,0,0,0 
Σιατίστης                     ,12,6,0,0,0 
Παλαιοκάστρου                 ,2,0,0,0,0 
Τσοτιλίου                     ,3,2,0,0,0 

Ανθοχωρίου                    ,1,0,0,0,0 
Βροντής                       ,1,0,0,0,0 
Δαμασκηνιάς                   ,1,0,0,0,0 
Ζώνης                         ,1,0,0,0,0 
Λουκομίου                     ,1,0,0,0,0 
Ροδοχωρίου                    ,1,0,0,0,0 
Βλάστης                       ,4,1,0,0,0 
Λιβαδερού                     ,5,2,0,0,0 
Πενταλόφου                    ,1,0,0,0,0 
Διλόφου                       ,0,1,0,0,0 
ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ                  ,204,52,16,1,21 
Φλωρίνης                      ,60,14,7,0,16 
Αρμενοχωρίου                  ,5,2,0,0,1 
Μεσονησίου                    ,1,0,0,0,0 
Πρώτης                        ,5,0,0,0,0 
Σκοπιάς                       ,4,0,0,0,1 
Αετού                         ,3,0,0,1,0 
Αναργύρων                     ,1,0,0,0,0 
Ασπρογείων                    ,1,0,0,0,0 
Βαλτονέρων                    ,3,0,0,0,0 
Λιμνοχωρίου                   ,2,0,0,0,0 
Πεδινού                       ,0,1,0,0,0 
Σκλήθρου                      ,2,0,0,0,0 
Αμυνταίου                     ,22,7,3,0,0 
Αγίου Παντελεήμονος           ,6,3,0,0,0 
Κέλλης                        ,2,0,0,0,0 
Ξινού Νερού                   ,4,1,0,0,0 
Φανού                         ,0,0,0,0,0 
Κάτω Κλεινών                  ,2,0,1,0,0 
Αγίας Παρασκευής              ,0,1,0,0,0 
’νω Καλλινίκης                ,2,0,0,0,0 
’νω Κλεινών                   ,0,1,0,0,0 
Κλαδορράχης                   ,1,0,0,0,0 
Μαρίνης                       ,1,0,0,0,0 
Νέου Καυκάσου                 ,1,0,0,0,0 
Νίκης                         ,1,0,0,0,0 
Πολυπλατάνου                  ,1,0,0,0,0 
Νεοχωρακίου                   ,1,0,0,0,1 
Αχλάδας                       ,1,1,0,0,0 
Βεύης                         ,4,1,1,0,0 
Ιτέας                         ,3,0,0,0,0 
Λόφων                         ,2,0,0,0,0 
Μελίτης                       ,9,3,0,0,1 
Παλαίστρας                    ,0,2,0,0,0 

Παππαγιάννη                   ,0,0,0,0,0 
Σιταριάς                      ,3,0,0,0,0 
Περάσματος                    ,3,2,0,0,0 
Αγίου Βαρθολομαίου            ,1,1,0,0,0 
Αμμοχωρίου                    ,6,5,0,0,0 
’νω Υδρούσσης                 ,1,0,0,0,0 
Δροσοπηγής                    ,1,1,0,0,0 
Κολχικής                      ,1,2,0,0,0 
Τροπαιούχου                   ,2,0,0,0,0 
Φλαμπούρου                    ,2,0,0,0,0 
Λαιμού                        ,0,1,1,0,1 
Καρυών                        ,1,0,0,0,0 
Λευκώνος                      ,1,0,0,0,0 
Ψαράδων                       ,1,0,0,0,0 
Φιλώτα                        ,12,0,1,0,0 
Αντιγονείας                   ,1,0,1,0,0 
Λεβαίας (Λακκιάς)             ,6,0,0,0,0 
Μανιακίου                     ,1,0,0,0,0 
Πελαργού                      ,1,0,0,0,0 
Φαραγγίου                     ,1,1,0,0,0 
Βαρικού                       ,3,1,0,0,0 
Λεχόβου                       ,4,1,0,0,0 
Νυμφαίου                      ,2,0,1,0,0 
ΘΕΣΣΑΛΙΑ                         ,2866,983,279,21,308 
ΝΟΜΟΣ ΚΑΡΔΙΤΣΗΣ                 ,360,124,24,0,2 
Καρδίτσης                     ,110,29,7,0,2 
Αγιοπηγής                     ,2,0,0,0,0 
Αρτεσιανού                    ,9,0,2,0,0 
Καρδιτσομαγούλας              ,8,4,0,0,0 
Παλαιοκκλησίου                ,1,0,0,0,0 
Ανθηρού                       ,1,0,0,0,0 
Αργιθέας                      ,3,1,0,0,0 
Καρυάς                        ,0,1,0,0,0 
Ματαράγκας                    ,4,2,1,0,0 
Κυψέλης                       ,3,1,0,0,0 
Πύργου Κιερίου                ,0,1,0,0,0 
Βραγκιανών                    ,0,0,2,0,0 
Καταφυλλίου                   ,1,1,0,0,0 
Φαναρίου                      ,3,1,0,0,0 
Ελληνοπύργου                  ,1,0,1,0,0 
Καππά                         ,3,0,0,0,0 
Πύργου Ιθώμης                 ,1,0,0,0,0 
Χάρματος                      ,1,0,0,0,0 

Καλλιθήρου                    ,7,1,0,0,0 
Αμαράντου                     ,0,1,0,0,0 
Αμπελικού                     ,1,1,0,0,0 
Καροπλεσίου                   ,1,0,0,0,0 
Καστανέας (Καστανιάς)         ,3,0,1,0,0 
Ραχούλας                      ,2,0,0,0,0 
Καλλιφωνίου                   ,2,4,0,0,0 
Ζαϊμίου                       ,0,1,0,0,0 
Σταυρού                       ,6,2,0,0,0 
Αγίου Θεοδώρου                ,1,1,0,0,0 
Μακρυχωρίου                   ,1,1,0,0,0 
Μυρίνης                       ,1,2,0,0,0 
Προδρόμου                     ,3,3,1,0,0 
Πτελοπούλας                   ,1,1,0,0,0 
Κέδρου                        ,1,1,0,0,0 
Αηδονοχωρίου                  ,0,1,0,0,0 
Λουτροπηγής                   ,1,0,1,0,0 
Μητροπόλεως                   ,9,8,0,0,0 
Αγίου Γεωργίου                ,1,0,0,0,0 
Γεωργικού                     ,2,1,0,0,0 
Κρύας Βρύσης                  ,2,1,0,0,0 
Ξινονερίου                    ,2,1,0,0,0 
Φράγκου                       ,0,0,1,0,0 
Μουζακίου                     ,17,5,1,0,0 
Αμυγδαλής                     ,1,0,0,0,0 
Ανθοχωρίου                    ,2,0,0,0,0 
Βατσουνιάς                    ,2,1,0,0,0 
Γελάνθης                      ,0,1,0,0,0 
Δρακότρυπας                   ,3,1,0,0,0 
Κρυοπηγής                     ,1,0,0,0,0 
Λαζαρίνας                     ,1,1,0,0,0 
Μαγουλίτσης                   ,1,2,0,0,0 
Μαυρομματίου                  ,8,2,0,0,0 
Οξυάς                         ,0,0,0,0,0 
Πορτής                        ,1,0,0,0,0 
Πεζούλας                      ,7,1,0,0,0 
Καρίτσης Δολόπων              ,1,1,0,0,0 
Κρυονερίου                    ,6,0,0,0,0 
Μπελοκομίτης                  ,1,0,0,0,0 
Νεοχωρίου                     ,10,1,0,0,0 
Φυλακτής                      ,4,3,0,0,0 
Παλαμά                        ,18,11,0,0,0 
Αγίου Δημητρίου               ,1,0,0,0,0 
Γοργοβιτών                    ,1,0,0,0,0 
Καλυβακίων                    ,0,0,0,0,0 
Μάρκου                        ,1,0,0,0,0 

Μεταμορφώσεως                 ,2,0,0,0,0 
Αγναντερού                    ,5,1,0,0,0 
Κρανέας                       ,1,1,0,0,0 
Μαγούλας                      ,4,0,0,0,0 
Παλαιοχωρίου                  ,1,0,0,0,0 
Ριζοβουνίου                   ,2,1,2,0,0 
Μορφοβουνίου                  ,4,1,0,0,0 
Κερασέας                      ,2,0,0,0,0 
Λαμπερού                      ,2,2,0,0,0 
Μεσενικόλα                    ,1,1,0,0,0 
Μοσχάτου                      ,3,0,0,0,0 
Ρεντίνας                      ,2,0,0,0,0 
Προαστίου                     ,3,0,0,0,0 
Καλογριανών                   ,1,0,0,0,0 
Πεδινού                       ,3,0,0,0,0 
Σοφάδων                       ,15,6,2,0,0 
Αγίας Παρασκευής              ,2,0,0,0,0 
Αγίου Βησσαρίου               ,1,0,0,0,0 
Αμπέλου                       ,3,1,0,0,0 
Γεφυρίων                      ,0,0,0,0,0 
Καρποχωρίου                   ,2,1,0,0,0 
Μασχολουρίου                  ,1,1,0,0,0 
Πασχαλίτσης                   ,1,0,0,0,0 
Φιλίας                        ,1,2,0,0,0 
Λεονταρίου                    ,0,0,1,0,0 
Ανάβρας                       ,1,1,0,0,0 
Αχλαδέας                      ,1,0,0,0,0 
Κτιμένης                      ,0,0,0,0,0 
Ιτέας                         ,4,0,0,0,0 
Λεύκης                        ,0,1,0,0,0 
Ορφανών                       ,1,2,0,0,0 
Φύλλου                        ,2,0,0,0,0 
Πετρίλου                      ,2,0,0,0,0 
Βλασίου                       ,1,0,0,0,0 
Κουμπουριανών                 ,0,0,1,0,0 
Λεοντίτου                     ,1,0,0,0,0 
ΝΟΜΟΣ ΛΑΡΙΣΗΣ                   ,919,286,57,7,104 
Λαρίσης                       ,437,117,25,6,87 
Τερψιθέας                     ,4,0,0,0,0 
Αγιάς                         ,15,9,1,0,0 
Ανάβρας                       ,0,1,0,0,0 
Γερακαρίου                    ,2,0,0,0,0 
Μεταξοχωρίου                  ,1,1,0,0,0 
Νερομύλων                     ,2,0,0,0,0 

Αμπελώνος                     ,18,7,1,0,0 
Δελερίων                      ,1,1,1,0,0 
Ροδιάς                        ,2,0,0,0,0 
Κρανέας Ελασσόνος             ,1,2,3,0,0 
Αρμενίου                      ,4,0,0,0,0 
Μεγάλου Μοναστηρίου           ,1,0,0,0,0 
Σωτηρίου                      ,1,0,0,0,0 
Γιάννουλης                    ,49,19,3,0,1 
Φαλάννης                      ,11,6,0,0,0 
Γόννων                        ,7,2,0,0,0 
Ελασσόνος                     ,37,11,5,0,4 
Γαλανόβρυσης                  ,1,1,0,0,0 
Παλαιοκάστρου                 ,1,0,0,0,0 
Τσαριτσάνης                   ,2,0,0,0,1 
Μεγάλου Ευυδρίου              ,2,0,1,0,0 
Κατωχωρίου                    ,1,0,0,0,0 
Κρήνης                        ,1,0,0,0,0 
Σταυρού                       ,0,1,0,0,0 
Υπερείας                      ,1,0,0,0,0 
Στομίου                       ,8,2,0,0,0 
Καρίτσης                      ,4,1,0,0,0 
Ομολίου                       ,3,1,0,0,0 
Παλαιοπύργου                  ,1,0,0,0,0 
Πυργετού                      ,9,4,0,0,0 
Αιγάνης                       ,10,2,0,0,0 
Ραψάνης                       ,2,1,2,0,0 
Κιλελέρ (Κυψέλης)             ,0,0,0,0,0 
Καλαμακίου                    ,1,0,0,0,0 
Κοιλάδος                      ,3,1,0,0,0 
Ελευθερών                     ,3,0,0,0,0 
Μάνδρας                       ,0,1,0,0,0 
Ραχούλας                      ,1,0,0,0,0 
Αγίων Αναργύρων               ,2,1,0,0,1 
Αγίου Γεωργίου Λαρίσης        ,0,1,0,0,0 
Βουναίνων                     ,1,0,0,0,0 
Δοξαρά                        ,1,1,0,0,0 
Κραννώνος                     ,1,0,0,0,0 
Αμυγδαλής                     ,0,0,0,0,0 
Λιβαδίου                      ,0,2,1,0,0 
Μακρυχωρίου                   ,10,6,0,0,0 
Ευαγγελισμού Λαρίσης          ,0,1,0,0,0 
Παραποτάμου                   ,1,0,0,0,0 
Σωτηρίτσης                    ,2,0,0,0,0 
Μελιβοίας                     ,20,5,3,0,0 
Σκήτης                        ,7,0,0,0,0 
Σκλήθρου                      ,1,1,0,0,0 

Ναρθακίου                     ,1,0,0,0,0 
Συκουρίου                     ,5,0,0,0,0 
Καλοχωρίου                    ,1,1,0,0,0 
Νέσσωνος                      ,6,3,0,0,0 
Πουρναρίου                    ,0,0,1,0,0 
Σπηλιάς                       ,2,0,0,0,0 
Νικαίας                       ,27,6,0,0,0 
Μύρων                         ,1,0,0,0,0 
Καλλιθέας Ελασσόνος           ,6,2,0,0,0 
Κοκκινογείου                  ,1,0,0,0,0 
Λόφου                         ,1,0,0,0,0 
Ολυμπιάδος                    ,0,1,0,0,0 
Πλατυκάμπου                   ,35,8,0,0,3 
Γαλήνης                       ,1,0,0,0,0 
Γλαύκης                       ,2,0,0,0,0 
Μελίας                        ,2,0,0,0,0 
Μελισσοχωρίου                 ,10,2,0,0,0 
Ομορφοχωρίου                  ,7,3,0,0,0 
Χάλκης                        ,3,0,0,0,0 
Βαμβακούς                     ,5,1,0,0,0 
Ερετρίας                      ,1,0,0,0,0 
Πολυδαμείου                   ,1,0,0,0,0 
Σιτοχώρου                     ,1,0,0,0,0 
Βλαχογιαννίου                 ,1,1,0,0,1 
Δομενίκου                     ,1,0,0,0,0 
Μεγάλου Ελευθεροχωρίου        ,1,0,0,0,0 
Μεσοχωρίου                    ,2,0,1,0,0 
Σαρανταπόρου                  ,4,1,0,0,1 
Λυκουδίου                     ,1,0,0,0,0 
Τυρνάβου                      ,53,30,6,1,0 
Αργυροπουλείου                ,3,0,0,0,0 
Δαμασίου                      ,5,0,0,0,1 
Δένδρων Τυρνάβου              ,4,0,0,0,0 
Φαρσάλων                      ,25,15,2,0,4 
Αμπελακίων                    ,0,1,0,0,0 
Βερδικούσσης                  ,3,2,1,0,0 
Καρυάς                        ,4,0,0,0,0 
ΝΟΜΟΣ ΜΑΓΝΗΣΙΑΣ                 ,1151,413,158,12,171 
Βόλου                         ,285,112,19,2,99 
Αγριάς                        ,41,12,2,0,2 
Δρακείας                      ,2,2,0,0,1 
Διμηνίου                      ,24,6,3,0,0 
Σέσκλου                       ,14,0,1,0,0 
Αλμυρού                       ,71,41,2,1,0 

Ευξεινουπόλεως                ,1,0,0,0,0 
Κροκίου                       ,2,1,0,0,0 
Πλατάνου                      ,1,1,0,0,0 
Αλοννήσου                     ,49,9,4,1,0 
Αργαλαστής                    ,38,10,7,0,1 
Ξινόβρυσης                    ,5,0,0,0,0 
’νω Λεχωνίων                  ,12,8,3,0,3 
Αγίου Βλασίου                 ,5,2,0,2,0 
Αγίου Λαυρεντίου              ,4,0,3,0,0 
Κάτω Λεχωνίων                 ,14,5,0,0,0 
Νεοχωρίου                     ,13,8,3,0,2 
Αφετών                        ,8,1,1,0,0 
Καλαμακίου                    ,0,0,0,0,0 
Λαμπινούς                     ,1,0,0,0,0 
Συκής                         ,3,2,0,0,0 
Ζαγοράς                       ,10,9,4,1,0 
Πουρίου                       ,1,0,0,0,0 
’νω Βόλου                     ,8,2,1,0,0 
Αγίου Ονουφρίου               ,2,0,0,0,0 
Ανακασιάς                     ,5,1,0,0,0 
Στεφανοβικείου                ,8,4,0,0,0 
Καναλίων                      ,2,2,1,0,0 
Ριζομύλου                     ,2,4,0,0,0 
Μηλεών                        ,32,6,10,3,3 
Αγίου Γεωργίου Νηλείας        ,3,5,4,0,0 
Βυζίτσης                      ,3,1,1,0,0 
Καλών Νερών                   ,4,3,2,0,0 
Πινακατών                     ,1,1,1,0,0 
Τσαγκαράδας                   ,32,16,2,0,13 
Αγίου Δημητρίου Πηλίου        ,5,1,2,0,0 
Ανηλίου                       ,1,0,0,0,0 
Κισσού                        ,2,1,0,0,1 
Μουρεσίου                     ,13,3,0,0,0 
Ξορυχτίου                     ,3,0,0,0,0 
Νέας Αγχιάλου                 ,48,17,1,0,3 
Μικροθηβών                    ,1,0,0,0,0 
Νέας Ιωνίας                   ,82,35,4,1,31 
Πορταριάς                     ,13,6,4,0,0 
’λλης Μεριάς                  ,4,0,0,0,2 
Κατωχωρίου                    ,4,2,1,0,0 
Σταγιατών                     ,1,2,0,0,0 
Πτελεού                       ,11,3,0,0,0 
Αχιλλείου                     ,1,0,0,0,0 
Λαύκου                        ,17,7,6,0,1 
Μηλίνης                       ,3,2,2,0,0 
Προμυρίου                     ,11,3,1,0,0 

Σκιάθου                       ,101,12,18,0,4 
Σκοπέλου                      ,78,26,33,0,3 
Γλώσσης                       ,1,0,1,0,0 
Σούρπης                       ,7,5,0,0,0 
Αγίας Τριάδος                 ,0,1,0,0,0 
Αμαλιαπόλεως                  ,2,1,2,0,0 
Δρυμώνος                      ,1,0,0,0,0 
Βελεστίνου                    ,16,7,1,0,1 
Αγίου Γεωργίου Φερών          ,3,0,0,0,0 
Αερινού                       ,1,2,0,0,0 
Μικρού Περιβολακίου           ,0,1,0,0,0 
Περιβλέπτου                   ,1,0,0,0,0 
Ανάβρας                       ,1,0,0,0,0 
Κεραμιδίου                    ,3,0,0,0,0 
Μακρινίτσης                   ,6,2,6,1,1 
Τρικερίου                     ,4,0,2,0,0 
ΝΟΜΟΣ ΤΡΙΚΑΛΩΝ                  ,436,160,40,2,31 
Τρικκαίων                     ,142,46,23,1,23 
Ελάτης                        ,16,4,1,0,1 
Αγίου Νικολάου                ,1,0,0,0,0 
Αθαμανίας                     ,1,1,0,0,0 
Βροντερού                     ,1,0,0,0,0 
Γαρδικίου                     ,4,1,0,1,0 
Δροσοχωρίου                   ,1,1,0,0,0 
Καλογήρων                     ,1,0,0,0,0 
Νεραϊδοχωρίου (τΧατζηπετρίου),2,0,0,0,0 
Περτουλίου                    ,1,0,1,0,0 
Πύρρας                        ,4,0,0,0,0 
Βασιλικής                     ,9,3,1,0,0 
Θεοπέτρας                     ,1,1,0,0,0 
Περιστέρας                    ,1,1,0,0,0 
Λυγαριάς                      ,5,1,0,0,0 
Γόμφων                        ,4,0,0,0,0 
Δροσερού                      ,3,0,0,0,0 
Μουριάς                       ,1,0,0,0,0 
Παλαιομοναστήρου              ,3,1,0,0,0 
Πηγής                         ,8,2,0,0,1 
Μεγαλοχωρίου                  ,4,6,0,0,0 
Λόγγου                        ,0,0,0,0,0 
Χρυσαυγής                     ,1,0,0,0,0 
Καλαμπάκας                    ,31,19,4,0,4 
Βλαχάβας                      ,2,0,0,0,0 
Διάβας                        ,3,2,0,0,0 
Καστρακίου                    ,2,1,0,0,2 

Ορθοβουνίου                   ,0,0,0,0,0 
Βαλτινού                      ,4,1,0,0,0 
Δενδροχωρίου                  ,1,2,0,0,0 
Κάτω Ελάτης                   ,1,0,0,0,0 
Καστανέας                     ,6,2,0,0,0 
Αμαράντου                     ,1,1,0,0,0 
Αμπελοχωρίου                  ,1,0,0,0,0 
Καλομοίρας                    ,2,0,0,0,0 
Κλεινού                       ,4,2,0,0,0 
Αηδόνος                       ,1,0,0,0,0 
Χρυσομηλέας                   ,1,0,0,0,0 
Πρίνου                        ,5,1,0,0,0 
Γενεσίου                      ,1,0,0,0,0 
Γοργογυρίου                   ,5,1,0,0,0 
Ξυλοπαροίκου                  ,0,2,0,0,0 
Προδρόμου                     ,2,0,2,0,0 
Παναγίας                      ,1,1,0,0,0 
Κορυδαλλού                    ,0,1,0,0,0 
Μαλακασίου                    ,2,0,0,0,0 
Μεγάλων Καλυβίων              ,6,4,0,0,0 
Αγίας Κυριακής                ,2,2,0,0,0 
Γλίνου                        ,1,0,0,0,0 
Οιχαλίας (Νεοχωρίου)          ,16,6,2,0,0 
Γεωργανάδων                   ,0,1,0,0,0 
Κλοκοτού                      ,0,4,0,0,0 
Κρήνης                        ,1,0,0,0,0 
Πετρωτού                      ,3,1,1,0,0 
Παλαιοπύργου                  ,2,0,0,0,0 
Αρδανίου                      ,1,0,0,0,0 
Ζηλευτής                      ,1,1,0,0,0 
Κρηνίτσης                     ,2,0,0,0,0 
Ριζώματος                     ,4,0,0,0,0 
Ράξας                         ,3,0,0,0,0 
Σπαθάδων                      ,0,1,0,0,0 
Ταξιαρχών                     ,2,1,0,0,0 
Νομής                         ,0,1,1,0,0 
Πετροπόρου                    ,1,0,0,0,0 
Σερβωτών                      ,1,0,0,0,0 
Φανερωμένης                   ,0,1,0,0,0 
Φήκης                         ,8,2,0,0,0 
Ελευθεροχωρίου                ,1,0,0,0,0 
Παραποτάμου                   ,2,1,0,0,0 
Πιαλείας                      ,6,0,0,0,0 
Φιλύρας                       ,0,1,0,0,0 
Στουρναραιίκων                ,11,7,2,0,0 
Βαθυρρεύματος                 ,1,0,0,0,0 

Νέας Πεύκης                   ,1,0,0,0,0 
Πύλης                         ,1,2,0,0,0 
Κονισκού                      ,3,0,0,0,0 
Μαυρελίου                     ,3,0,0,0,0 
Φλαμπουρεσίου                 ,1,1,0,0,0 
Κεφαλοβρύσου                  ,7,5,0,0,0 
Διαλεκτού                     ,0,1,0,0,0 
Διποτάμου                     ,1,0,0,0,0 
Μεγάλου Κεφαλοβρύσου          ,9,2,0,0,0 
Μεγάρχης                      ,1,1,0,0,0 
Φαρκαδόνος                    ,4,3,0,0,0 
Γριζάνου                      ,8,2,0,0,0 
Ζάρκου                        ,1,1,0,0,0 
Ασπροκκλησιάς                 ,11,1,0,0,0 
Αγιοφύλλου                    ,0,0,1,0,0 
Αγναντιάς                     ,4,0,0,0,0 
Γάβρου                        ,1,0,0,0,0 
Κακοπλευρίου                  ,2,1,0,0,0 
Οξυνείας                      ,2,0,1,0,0 
Σκεπαρίου                     ,2,0,0,0,0 
Καλλιρρόης                    ,2,0,0,0,0 
Ανθούσης                      ,1,0,0,0,0 
Καταφύτου                     ,0,1,0,0,0 
Κρανέας                       ,1,1,0,0,0 
Νεράιδας                      ,5,0,0,0,0 
ΗΠΕΙΡΟΣ                          ,1598,421,76,7,131 
ΝΟΜΟΣ ΑΡΤΗΣ                     ,243,103,7,0,34 
Αρταίων                       ,121,30,3,0,30 
Κεραματών                     ,1,1,0,0,0 
Κωστακιών                     ,7,0,0,0,0 
Αγνάντων                      ,6,0,0,0,1 
Μικροσπηλιάς                  ,2,0,0,0,0 
Βουργαρελίου                  ,4,2,1,0,0 
Αθαμανίου                     ,1,0,0,0,0 
Καψάλων                       ,1,0,0,0,0 
Ανέζης                        ,10,15,0,0,0 
Γαβριάς                       ,0,1,0,0,0 
Πολυδρόσου                    ,0,1,0,0,0 
